class template, instantiations, multiple overload instantiations, loc, definition file path, line
slideshow::internal::PrioritizedHandlerEntry, //6, //4, //21, //slideshow/source/engine/eventmultiplexer.cxx, //73
ole_adapter::UnoConversionUtilities, //22, //1, //1789, //extensions/source/ole/unoconversionutilities.hxx, //110
OGeometryControlModel, //4, //1, //41, //toolkit/inc/toolkit/controls/geometrycontrolmodel.hxx, //190
vcl::solarthread::detail::GenericSolarThreadExecutor, //4, //3, //35, //vcl/inc/vcl/threadex.hxx, //74
vcl::solarthread::detail::GenericSolarThreadExecutor, //0, //0, //34, //vcl/inc/vcl/threadex.hxx, //117
vcl::solarthread::detail::copy_back_wrapper, //3, //1, //24, //vcl/inc/vcl/threadex.hxx, //156
APIPropertyAccessor, //0, //0, //16, //forms/source/xforms/propertysetbase.hxx, //164
BooleanPropertyAccessor, //0, //0, //16, //forms/source/xforms/propertysetbase.hxx, //144
DirectPropertyAccessor, //0, //0, //16, //forms/source/xforms/propertysetbase.hxx, //124
GenericPropertyAccessor, //0, //0, //36, //forms/source/xforms/propertysetbase.hxx, //78
comphelper::ORelease, //1, //1, //7, //comphelper/inc/comphelper/guarding.hxx, //39
canvas::CanvasBase, //1, //1, //285, //canvas/inc/canvas/base/canvasbase.hxx, //106
OTemplateInstanceDisambiguation, //1, //1, //3, //toolkit/inc/toolkit/controls/geometrycontrolmodel.hxx, //179
salhelper::FutureValue, //4, //1, //27, //salhelper/inc/salhelper/future.hxx, //40
basegfx::internal::ImplHomMatrixTemplate, //2, //1, //405, //basegfx/source/inc/hommatrixtemplate.hxx, //77
basegfx::internal::ImplMatLine, //3, //1, //31, //basegfx/source/inc/hommatrixtemplate.hxx, //40
ScVbaFormat, //9, //0, //161, //sc/source/ui/vba/vbaformat.hxx, //45
OfaRefItem, //1, //1, //28, //svx/inc/svx/ofaitem.hxx, //58
DynamicList, //3, //0, //36, //xml2cmp/source/support/list.hxx, //101
List, //8, //1, //133, //xml2cmp/source/support/list.hxx, //28
slideshow::internal::GenericAnimation, //0, //0, //108, //slideshow/source/engine/animationfactory.cxx, //383
slideshow::internal::TupleAnimation, //0, //0, //109, //slideshow/source/engine/animationfactory.cxx, //57
dbaxml::OMultiInstanceAutoRegistration, //2, //0, //21, //dbaccess/source/inc/registrationhelper.hxx, //81
dbaxml::OOneInstanceAutoRegistration, //2, //0, //21, //dbaccess/source/inc/registrationhelper.hxx, //117
sfx::MultiControlWrapper, //1, //1, //14, //sfx2/inc/sfx2/controlwrapper.hxx, //468
sfx::PosValueMapper, //5, //3, //53, //sfx2/inc/sfx2/controlwrapper.hxx, //63
canvas::BufferedGraphicDeviceBase, //0, //0, //138, //canvas/inc/canvas/base/bufferedgraphicdevicebase.hxx, //85
salhelper::ODynamicLoader, //3, //1, //62, //salhelper/inc/salhelper/dynload.hxx, //105
pcr::OAutoRegistration, //0, //0, //3, //extensions/source/propctrlr/modulepcr.hxx, //30
pcr::OSingletonRegistration, //0, //0, //3, //extensions/source/propctrlr/modulepcr.hxx, //30
ScVbaCondition, //7, //0, //140, //sc/source/ui/vba/vbacondition.hxx, //27
PageHolderObject, //15, //2, //92, //store/workben/t_page.cxx, //327
OHardRefMap, //0, //0, //141, //connectivity/source/sdbcx/VCollection.cxx, //48
canvas::vcltools::VCLObject, //0, //0, //56, //canvas/inc/canvas/vclwrapper.hxx, //54
